x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
B,B,A,B,A,B,1.8,-0.0,1.61,0.28,5.2,0.83,0.98,1.57
B,C,B,B,A,B,3.27,-0.3,,0.75,1.61,0.22,0.65,0.17
,B,A,B,A,A,0.47,-0.0,0.76,1.75,1.44,-1.41,1.48,1.54
A,B,B,B,A,B,0.27,-0.24,2.25,0.0,0.07,-0.72,0.05,-1.88
A,C,B,B,A,B,1.71,0.07,,0.14,0.82,-0.01,0.57,-1.14
,C,C,A,A,B,3.47,0.14,0.7,1.31,-0.11,-1.92,0.72,1.19
B,C,C,B,A,A,0.84,0.56,1.57,0.16,3.79,0.16,1.39,-0.35
C,B,C,B,A,B,2.59,1.39,-0.28,4.15,2.76,-0.29,0.66,-0.79
C,B,B,A,B,B,1.31,-0.75,,4.01,0.73,1.17,1.1,3.0
B,C,C,B,A,A,-0.41,0.12,1.17,1.21,1.03,-1.17,2.03,-1.63
,A,B,B,A,B,3.16,0.04,,0.2,-0.05,-0.55,1.27,0.03
B,A,C,B,A,A,-0.45,-0.19,0.19,0.03,2.12,0.68,0.18,0.91
A,C,B,B,B,B,1.01,0.0,-0.57,1.27,1.5,0.71,0.77,0.03
C,A,B,B,B,A,1.19,0.47,3.1,,-0.24,0.66,0.59,-0.46
C,A,C,A,A,A,2.51,-0.14,2.56,,-0.22,1.54,0.15,0.03
C,B,C,B,B,B,2.09,0.37,,0.22,-0.11,-0.67,1.41,0.97
C,B,B,A,A,A,1.48,0.02,-1.34,2.54,-0.17,1.01,2.02,2.98
A,B,C,B,B,A,0.72,-0.02,,0.39,-0.24,-2.21,0.65,-2.56
C,B,B,A,A,B,-0.4,-0.21,,1.48,2.97,1.54,0.89,2.02
,A,D,,B,B,2.84,-0.02,0.88,4.03,2.44,-0.41,2.95,-1.85
C,B,D,A,A,A,2.32,0.35,,1.01,-0.16,2.08,0.27,-1.5
C,C,A,A,B,A,0.04,-0.06,1.51,0.11,1.09,0.54,4.09,1.71
B,C,C,B,A,A,1.38,0.07,-0.69,0.48,6.13,-1.17,0.27,0.43
B,A,D,B,A,B,0.07,-0.25,1.38,0.05,-0.21,-2.0,1.15,3.29
B,C,A,B,B,B,1.9,1.37,-0.55,0.0,5.42,-1.21,0.67,0.04
B,C,B,B,A,A,-0.88,-0.0,,0.33,-0.18,1.58,0.36,0.59
A,C,A,B,A,A,-0.32,0.05,,0.59,12.75,2.57,1.39,0.05
C,A,C,A,A,A,1.65,0.07,1.64,0.04,0.05,0.49,0.33,0.28
C,A,A,B,A,B,1.84,0.11,2.72,0.16,0.08,0.08,1.08,-0.74
C,A,D,B,A,B,0.54,0.77,,0.36,3.23,0.79,0.46,-1.37
,C,C,B,B,A,0.01,-0.0,-1.11,0.0,-0.07,-0.63,1.36,-1.27
C,C,C,A,A,B,1.99,-0.11,1.83,0.05,20.31,0.09,2.65,-1.05
A,A,B,B,A,B,2.38,-0.06,0.06,0.0,1.4,0.44,1.48,-1.52
A,B,B,B,A,A,-0.87,0.03,,0.54,0.14,-0.5,1.32,1.87
A,C,C,B,A,B,1.72,-0.0,,0.15,-0.24,-0.78,0.89,0.63
B,C,D,B,A,A,-1.31,-0.01,,0.3,0.92,-0.37,3.17,-1.05
B,A,B,B,B,A,2.05,0.13,2.03,4.84,6.05,-1.75,1.96,-3.74
C,C,C,B,B,A,1.41,0.25,1.93,,0.87,2.75,0.09,-1.46
A,C,B,B,A,A,-0.81,0.25,0.68,0.68,2.63,2.15,0.97,-0.41
A,C,C,B,B,B,0.86,0.5,0.76,0.0,-0.07,0.39,1.01,0.05
B,C,B,A,B,B,0.78,-0.29,-0.43,,0.4,-2.66,1.04,1.37
C,C,B,B,B,B,2.57,0.81,,1.2,-0.17,0.33,1.22,-2.6
B,B,B,B,B,B,-0.03,0.02,,2.74,0.04,-1.3,1.73,1.5
A,C,C,B,B,A,-1.14,0.0,0.59,0.0,-0.24,-1.27,2.9,-2.2
A,B,A,B,B,B,1.34,0.01,,3.94,-0.01,-1.61,2.25,-0.01
C,C,B,A,B,B,5.6,-0.04,,0.2,1.23,2.04,0.6,-0.25
B,B,C,B,A,B,1.29,0.0,3.39,0.02,-0.1,-2.09,1.22,1.43
C,C,A,B,A,A,-1.47,-2.42,2.07,0.54,0.73,0.37,2.29,2.42
A,C,B,A,B,A,0.59,-0.04,7.75,0.05,2.01,0.81,2.19,-2.32
C,B,B,A,B,B,3.16,2.11,,0.05,-0.04,1.7,0.23,-2.12
A,B,C,B,A,A,2.73,-0.0,,,3.79,-0.97,0.23,1.43
C,B,C,B,B,A,-0.17,0.07,,,0.58,-0.14,1.11,-1.21
A,A,A,B,A,B,0.77,3.12,2.89,0.4,1.28,1.73,1.03,-1.54
,A,D,A,A,A,1.02,0.05,0.54,0.15,0.06,-0.67,0.02,1.39
A,C,C,B,A,B,1.04,2.62,,0.16,0.74,1.29,0.04,-3.8
,A,B,B,B,B,1.91,3.49,,7.03,0.18,0.82,0.9,1.76
C,A,C,A,B,A,0.48,0.13,,0.09,0.95,1.55,0.2,0.82
A,B,C,A,A,B,2.96,0.42,-0.16,6.26,8.79,1.04,0.08,0.38
,C,D,A,B,B,2.2,-0.44,-1.89,0.22,-0.04,-0.85,0.22,-0.98
A,C,C,B,A,A,-0.25,-0.0,0.56,3.97,0.46,0.08,1.37,-0.85
A,A,B,B,A,B,1.36,0.18,2.83,,0.1,-0.69,1.56,-2.6
B,B,B,A,A,A,-0.96,1.26,1.47,1.23,-0.12,-2.27,0.61,0.25
C,C,A,A,A,A,0.56,-0.37,1.2,0.05,-0.24,1.0,3.01,0.44
A,C,D,B,A,B,-0.6,1.51,1.58,3.32,0.07,-2.15,0.58,-0.3
B,C,C,B,A,A,-0.03,-0.35,1.09,,-0.16,0.65,0.82,-1.2
A,B,C,B,A,A,1.32,-0.01,1.94,,-0.22,0.25,0.33,1.39
A,A,B,A,A,B,-0.12,1.82,2.6,2.26,2.2,-1.09,1.22,1.07
B,A,A,,A,B,1.16,-0.01,,0.01,2.71,-0.14,1.02,1.7
A,A,C,B,A,B,0.91,-0.14,0.06,0.42,0.64,-0.57,2.63,-0.27
A,A,C,,A,B,2.72,-0.0,1.7,5.68,6.44,2.34,2.35,-0.28
B,C,C,A,B,B,-0.44,0.0,7.79,0.58,-0.06,0.48,1.14,0.79
A,B,B,B,A,A,2.0,-0.16,0.7,0.14,-0.23,1.27,0.65,-1.44
A,B,A,B,A,A,0.66,0.38,,,-0.16,0.11,1.58,-0.58
C,B,B,B,B,B,2.9,0.01,,6.92,3.48,0.12,0.6,-1.87
B,A,C,B,A,B,-0.36,-0.42,,0.8,6.19,1.88,2.74,2.12
A,A,B,B,A,B,1.99,1.16,,1.3,2.45,1.23,0.04,-1.57
B,C,B,A,B,A,1.99,2.09,,0.25,-0.18,1.22,1.07,-1.62
C,A,C,B,B,B,4.74,1.46,1.33,0.92,0.22,-0.82,1.03,0.83
,B,B,B,B,A,1.17,0.14,-0.82,0.03,1.43,0.59,0.81,-0.51
A,B,A,A,A,B,-0.55,0.01,1.88,0.85,7.45,-1.71,2.17,1.76
A,C,B,B,A,B,0.22,-0.0,,0.62,0.11,-0.13,0.44,-1.13
B,A,A,B,A,A,0.02,-0.21,2.43,0.31,-0.25,0.04,2.47,0.28
,C,C,A,B,A,0.82,0.29,-1.68,0.05,-0.25,1.73,0.34,0.28
C,B,D,B,A,A,-1.29,-0.0,2.44,0.0,-0.23,-1.56,1.75,0.09
A,B,C,A,A,A,1.95,0.11,2.76,1.83,1.05,1.7,0.39,-3.11
C,C,C,A,B,A,2.54,0.0,1.59,0.64,-0.15,1.33,0.86,0.21
B,B,B,B,A,A,0.57,-0.02,0.78,,4.67,-0.42,0.77,-0.35
C,A,B,B,A,A,0.88,5.14,,0.86,6.87,0.03,0.57,-1.48
A,A,B,B,A,A,0.86,-0.0,,0.32,3.0,-0.0,0.34,7.48
C,A,C,B,A,B,1.4,0.78,,,0.27,-0.73,0.01,0.11
C,C,A,B,B,A,-1.14,0.15,,,3.1,-1.6,3.28,0.93
C,B,C,A,B,A,-0.02,-0.23,1.77,0.07,5.57,0.95,1.04,0.31
A,B,D,A,A,B,2.55,0.01,-0.08,,3.42,-1.41,1.38,0.59
,B,B,B,A,B,2.76,0.53,1.49,,2.87,0.06,0.3,-0.14
C,A,D,B,A,B,-0.19,-0.0,0.96,0.78,-0.19,-0.06,1.06,-0.81
C,A,C,B,B,A,0.38,-0.0,1.59,,2.53,-1.74,0.17,0.36
C,C,C,B,A,B,1.81,0.03,3.53,2.23,1.33,1.47,1.69,0.12
A,B,B,B,A,B,1.91,0.22,0.73,0.29,3.1,-2.52,0.71,-1.39
C,C,C,B,A,A,2.0,0.92,2.42,0.0,0.14,-0.31,0.73,0.91
B,C,B,,A,B,2.56,0.03,,0.11,3.79,0.29,1.05,-2.51
B,B,B,B,B,A,0.58,0.34,-0.14,0.0,3.23,-0.03,4.37,0.15
B,C,A,B,A,A,1.46,2.0,1.29,0.18,-0.19,0.62,1.23,-1.65
C,A,B,B,A,A,1.02,0.64,2.37,2.11,8.62,-0.53,0.81,-0.7
C,C,D,B,A,B,2.0,1.56,0.75,2.43,0.21,0.47,1.33,2.04
C,C,A,B,B,A,1.8,0.0,-0.19,,1.78,0.99,3.09,4.74
C,C,C,B,A,A,1.92,0.81,7.22,,-0.13,-1.31,0.12,-1.62
B,C,C,B,A,A,0.06,-0.19,,0.1,1.73,-0.18,3.37,0.18
A,A,B,A,A,A,1.83,0.87,4.11,0.22,13.41,-0.32,1.89,-2.61
A,C,D,B,A,B,1.05,-0.22,,10.77,1.14,-1.52,1.08,0.96
A,C,A,A,A,B,1.78,0.01,,2.85,0.86,1.1,1.61,-1.5
B,C,B,A,A,B,0.79,0.07,,0.27,-0.08,-1.99,1.18,-1.24
C,B,C,B,A,A,1.37,0.22,2.79,0.93,0.64,1.87,0.21,-0.45
C,B,B,B,A,A,-0.65,1.45,1.99,1.48,2.85,4.11,0.77,-1.37
C,B,A,A,B,B,3.38,0.27,-0.09,,-0.17,-0.04,0.31,-1.54
C,A,B,A,A,B,0.8,-2.67,1.14,,0.11,-1.17,1.19,1.66
B,C,B,B,A,A,-1.99,0.3,-0.02,0.21,2.53,0.83,1.31,-0.04
,B,C,A,A,B,-0.22,0.27,1.3,0.27,-0.08,1.75,2.32,-1.42
C,C,C,A,B,A,0.11,0.0,0.15,1.61,0.84,-0.46,2.86,0.7
A,B,D,B,B,A,0.74,0.12,-1.05,,-0.2,0.5,1.16,0.28
A,C,B,A,A,B,0.32,2.43,,,4.99,0.51,1.89,1.23
B,B,A,B,A,B,-0.33,0.01,2.4,,0.89,1.95,0.27,1.5
,B,C,B,A,A,1.05,0.87,,0.14,3.84,0.59,0.71,-0.46
C,C,B,B,A,B,0.46,0.42,1.02,0.27,8.15,0.12,2.82,1.88
A,C,B,B,A,B,-0.12,-3.8,,2.21,1.17,0.94,0.4,0.79
,A,A,B,B,B,2.03,0.65,0.38,,0.1,0.68,2.57,-0.31
C,C,C,A,A,A,-0.79,-2.59,-0.02,0.39,0.2,1.27,1.79,2.03
B,A,C,A,A,B,2.45,0.96,1.64,2.69,7.25,-0.71,0.98,0.11
,B,B,B,B,B,1.55,0.08,2.63,0.15,1.15,0.45,1.2,-1.49
B,B,B,B,A,A,-0.48,-0.45,-0.61,,-0.18,0.52,1.34,0.07
A,B,C,B,A,A,0.36,0.44,-1.66,2.12,0.5,-1.09,1.25,0.27
,C,B,B,B,B,2.36,0.05,,0.03,-0.04,0.97,1.27,0.95
B,C,A,B,A,B,1.38,0.08,,,4.81,-0.29,0.87,-0.64
A,B,C,B,A,B,1.08,0.0,,0.59,-0.24,-1.41,0.49,-3.09
B,C,C,B,A,B,1.72,1.34,,0.05,-0.25,-1.92,1.33,-2.47
A,A,C,A,B,B,0.34,-0.01,-0.67,0.08,11.32,1.65,2.06,-1.3
C,C,B,B,A,A,-0.39,0.08,0.52,4.15,6.33,-1.12,0.53,-2.27
,C,B,B,B,B,2.05,-0.0,,,-0.22,-1.7,0.61,3.0
A,C,C,B,A,B,0.31,-0.0,-1.06,1.49,4.75,-1.38,4.7,0.67
B,A,C,B,B,A,0.45,0.74,,,0.93,0.91,0.87,0.95
C,C,B,B,B,A,0.29,-1.82,,2.28,12.15,0.51,0.41,1.11
B,C,C,B,A,B,1.74,-0.08,1.45,2.81,1.32,-0.23,0.15,1.43
C,A,C,A,A,A,-0.14,0.13,,1.72,0.06,1.15,0.39,-0.17
B,B,B,B,A,B,-1.24,0.19,,0.57,6.25,-1.3,0.46,-0.32
B,B,B,B,A,A,-0.0,-0.01,-0.59,1.53,3.06,2.61,0.48,0.02
B,A,C,B,A,B,-0.79,0.0,,0.22,1.02,-0.54,0.81,-0.84
C,C,A,A,A,A,3.28,0.01,6.0,0.01,-0.08,1.69,0.41,2.12
C,B,A,A,A,B,2.76,1.92,,0.73,0.53,0.56,0.15,0.84
B,A,B,B,A,B,0.87,-0.01,,0.04,3.25,0.11,0.81,-0.45
C,A,B,B,B,A,0.7,0.51,2.25,0.32,0.77,0.35,0.32,-0.68
C,A,A,A,B,A,2.93,0.85,,8.2,-0.21,-2.02,1.95,0.14
C,B,C,B,A,A,0.07,-0.17,0.63,3.83,2.11,-1.51,1.59,-0.14
A,A,D,A,B,A,2.88,0.14,0.16,1.83,-0.19,1.23,1.15,-4.76
,A,C,B,A,A,1.52,0.23,,0.01,5.28,-0.07,0.82,1.05
C,A,C,B,A,B,0.09,0.0,0.73,0.06,-0.23,-1.94,0.26,1.14
B,B,A,A,A,A,1.46,-1.7,-0.32,1.9,0.11,-0.26,1.08,-0.7
B,C,A,A,A,A,-1.5,-0.14,-0.5,,-0.2,1.51,0.85,-0.84
A,A,B,B,A,B,-0.22,-0.02,,,1.96,0.73,2.99,-1.27
A,C,C,A,A,A,-1.63,-0.36,2.15,0.27,5.09,-0.5,3.07,-0.37
B,B,D,A,A,A,2.27,0.36,1.9,0.85,-0.25,2.74,1.69,-0.64
B,A,B,B,A,A,0.09,0.0,-0.01,0.24,0.2,-0.8,1.41,-0.28
A,B,C,A,B,A,1.55,-0.0,-2.1,1.08,-0.09,0.58,1.64,0.33
C,A,C,B,B,B,0.27,-0.51,0.14,3.19,1.54,1.26,1.64,1.87
A,B,B,B,A,B,2.31,0.55,-1.39,2.57,-0.19,1.08,0.5,-0.62
,A,A,A,A,A,2.75,-0.37,-0.83,,0.11,0.92,1.25,2.33
A,C,C,B,A,A,-0.09,0.61,-0.77,2.45,2.41,-1.17,0.52,-3.39
B,C,A,B,A,B,1.53,1.78,-0.73,,1.0,-1.81,0.21,-0.21
C,B,C,B,B,B,0.16,2.34,0.93,,-0.24,0.64,0.1,-1.26
C,C,B,A,A,B,1.17,0.19,0.71,0.07,-0.03,-0.72,0.54,-0.66
C,C,B,A,B,A,1.14,-0.01,1.86,0.72,-0.22,1.04,0.96,0.81
A,C,C,,A,B,0.77,-0.25,,1.73,-0.16,2.64,0.75,5.23
B,B,D,B,A,A,0.74,0.05,-0.61,,2.05,-1.72,1.68,-0.25
C,B,C,A,A,A,1.01,-0.0,1.38,0.36,0.49,-0.56,0.58,1.19
B,C,C,B,A,A,1.78,4.15,,0.61,2.54,1.99,0.49,0.56
,B,C,A,B,A,-0.1,0.07,,0.92,0.06,0.26,0.05,-0.62
,C,C,B,A,B,1.89,2.99,3.6,2.02,-0.06,-0.01,0.95,-3.46
A,C,B,B,B,A,-2.18,0.0,0.7,1.31,0.69,2.52,2.81,2.18
C,C,C,B,B,A,-0.24,0.15,0.81,0.03,0.7,1.5,0.15,-0.25
A,C,B,B,A,B,0.99,-0.01,2.79,0.01,1.58,-0.44,2.17,-0.43
C,A,B,B,A,A,1.72,-0.02,1.3,0.01,3.71,0.67,1.66,1.84
B,C,B,B,B,A,1.13,3.08,-2.02,1.07,0.51,1.2,0.93,-2.59
C,B,C,B,A,A,0.65,-0.14,1.4,0.31,6.55,0.98,1.61,0.59
,C,B,,A,B,1.81,1.34,1.53,0.11,-0.24,-0.88,1.02,-1.16
C,B,C,A,A,B,3.45,0.25,,1.99,1.63,-3.08,0.54,1.44
A,A,C,B,A,A,-1.51,-0.88,,2.22,-0.13,-1.26,2.12,3.72
A,A,C,B,A,A,-0.26,0.0,0.99,8.35,-0.01,1.37,0.04,0.34
C,C,C,B,A,B,1.6,1.77,,,5.82,-0.78,0.73,2.43
A,B,C,B,A,A,-0.41,0.33,,0.16,-0.1,0.71,0.47,-1.29
,C,C,A,A,B,1.9,-0.04,2.44,0.79,0.44,-1.18,0.49,-0.81
B,B,D,B,B,B,0.12,10.6,,3.1,-0.11,0.57,1.7,0.51
A,C,C,B,B,B,1.61,0.48,-0.03,0.2,0.26,0.13,0.09,-1.52
A,A,C,B,A,B,0.36,-0.42,1.97,3.25,0.12,-0.94,0.5,-3.51
C,C,C,B,A,B,1.31,1.02,3.12,0.0,0.74,0.81,0.78,1.51
B,A,B,,B,B,-0.31,0.02,0.6,,0.71,1.13,1.56,0.09
C,C,C,A,B,B,2.03,-0.01,0.09,0.17,0.05,-3.66,0.63,-0.49
A,C,C,B,A,B,0.28,-0.74,,5.41,-0.15,-0.13,0.84,1.02
C,B,A,A,B,B,-0.38,-0.16,-0.27,2.37,1.97,0.12,0.46,0.06
A,B,C,B,A,A,0.11,-0.4,1.02,0.58,-0.2,3.09,0.32,0.27
A,A,C,B,A,A,1.83,1.18,,1.62,0.0,-1.32,1.45,-3.38
C,A,D,B,A,B,1.56,5.73,1.26,,2.05,-1.93,0.19,-2.78
A,C,C,B,A,B,1.05,-0.03,-0.36,0.37,-0.25,-2.82,0.55,-0.08
B,C,C,B,B,A,0.62,0.55,,0.03,3.0,0.02,1.05,-0.16
C,B,B,A,A,B,-0.53,-0.0,1.87,0.05,0.33,-1.14,0.41,0.12
B,A,B,A,A,A,-0.43,-0.0,,3.13,1.15,0.37,0.39,1.5
A,B,B,B,A,B,-0.63,0.0,-0.17,0.06,1.1,1.21,1.38,-2.14
B,B,C,A,B,B,2.59,0.49,0.24,0.18,1.56,0.25,1.25,1.34
B,B,B,B,B,B,0.49,0.6,1.58,1.23,-0.17,-1.34,0.52,-0.09
C,A,B,B,B,B,3.78,10.75,-0.49,,3.51,-0.93,0.9,-1.8
B,C,C,B,B,A,1.22,0.36,0.84,2.9,0.69,-0.9,1.32,-2.24
C,C,B,A,A,B,1.95,0.27,1.18,,0.35,-1.57,0.12,-0.29
B,C,A,B,A,B,-0.71,0.09,2.24,1.92,6.29,3.25,1.85,0.25
C,C,A,B,B,A,-0.23,-0.0,1.92,,2.3,0.18,1.41,1.07
B,C,A,B,B,B,1.01,-0.0,-0.45,0.98,0.38,-1.58,0.46,-1.73
C,B,C,B,A,A,-1.96,0.0,0.03,,-0.04,-0.53,0.35,-0.4
A,B,B,B,A,B,1.03,0.75,2.98,1.69,-0.11,1.57,1.53,1.34
B,C,C,,A,B,2.29,0.0,,2.76,0.73,0.66,0.94,1.04
,B,C,B,A,A,2.4,0.06,1.24,4.69,0.5,0.65,1.53,-0.2
,A,B,B,A,A,-0.34,0.18,,,1.81,0.53,0.66,2.16
B,C,C,B,A,A,1.04,0.11,-0.74,0.18,2.17,0.37,0.59,-2.56
C,B,C,B,A,A,2.75,2.15,,1.75,2.89,-0.54,0.31,-0.16
B,C,B,B,B,B,1.45,0.01,-0.57,1.13,-0.11,0.01,1.28,-1.32
B,C,C,B,B,B,1.44,0.45,,5.7,-0.13,-3.2,0.31,-2.47
A,C,B,B,B,A,1.55,-0.54,-0.9,1.71,-0.1,1.4,1.69,3.5
A,B,C,B,A,A,-0.23,0.07,0.03,0.11,1.09,0.85,1.95,1.55
C,B,C,A,A,B,1.89,2.14,,3.64,2.28,-1.0,0.6,2.4
A,C,A,,A,B,0.97,0.0,2.25,0.13,6.27,0.0,0.7,-1.27
C,C,B,B,A,B,-0.08,0.07,-0.13,0.29,0.05,-0.42,0.92,0.88
B,C,C,,B,B,1.43,0.01,-0.75,2.5,-0.19,-3.76,2.84,0.87
C,C,C,A,A,B,2.48,-0.09,-0.49,0.34,-0.17,-0.67,0.18,3.15
C,C,B,A,A,A,5.62,0.42,0.4,,8.9,-0.87,2.13,-0.08
A,C,B,A,B,A,0.05,-0.07,0.44,,0.34,2.28,0.87,-1.52
C,B,B,B,A,A,0.77,0.29,,,2.89,-0.26,1.97,8.26
C,C,D,B,B,B,2.22,0.12,,0.04,1.58,-1.39,0.9,3.09
,C,A,B,A,B,0.9,0.0,,4.48,0.96,1.16,0.05,1.67
B,C,A,B,A,B,1.89,-0.01,3.48,,4.4,-2.56,0.41,-1.06
B,C,B,B,A,B,0.04,0.59,-0.86,0.3,2.27,-0.06,0.14,-0.74
,A,C,A,A,B,1.27,0.0,1.6,0.0,3.03,-0.75,0.44,-0.92
C,B,A,,A,A,0.7,-0.17,,1.08,-0.25,-0.75,1.42,0.07
A,B,C,B,A,B,1.9,-0.22,,,-0.12,-2.53,2.99,-0.24
A,B,C,B,B,B,2.03,0.37,1.29,0.07,1.25,-0.85,0.02,-2.55
C,B,B,A,A,A,1.8,0.0,1.12,1.3,6.33,-1.6,1.7,1.93
C,C,B,A,A,A,2.72,0.0,0.25,0.0,-0.19,1.15,0.16,-0.5
,B,C,B,A,A,0.61,-0.2,3.94,,1.03,-1.24,1.86,0.54
,B,A,A,A,B,2.0,-1.89,,,-0.04,0.75,1.94,1.38
C,B,B,B,A,B,1.22,0.19,6.68,,2.03,-0.96,0.23,1.67
C,A,B,A,B,B,3.06,0.06,,0.59,4.9,-0.28,0.66,-2.76
A,A,C,B,B,B,3.39,0.26,-0.16,0.06,2.51,0.88,2.52,-1.72
C,C,C,B,A,A,-2.32,0.21,,,2.04,-0.13,1.8,-1.09
B,C,B,B,A,A,0.34,-0.51,1.46,,1.08,0.31,0.61,-1.36
B,C,C,A,B,A,1.02,0.0,,0.43,2.67,2.36,1.82,-0.05
,C,B,B,B,B,1.09,0.26,,2.83,1.41,-0.82,1.17,-0.56
C,B,D,B,B,A,2.25,-0.04,-0.24,0.01,-0.02,-0.62,3.09,1.3
A,B,B,B,B,B,1.1,0.02,0.76,,1.27,-0.62,1.94,1.56
A,A,B,B,B,B,0.36,-0.0,0.59,0.31,-0.11,1.5,0.78,1.34
B,B,C,B,B,A,1.04,-0.0,-1.31,1.04,5.79,0.53,1.23,-2.81
A,C,B,B,A,B,2.14,0.48,,0.06,2.17,-0.69,1.27,-2.35
C,C,D,A,B,A,1.93,0.26,-2.04,,1.13,0.43,1.06,1.9
,A,B,B,B,A,1.88,0.03,2.57,0.05,0.91,0.37,1.34,1.37
,C,B,B,A,B,-0.71,0.0,,,1.7,-1.0,1.88,1.45
A,C,B,B,A,B,1.63,-0.05,0.2,0.01,2.04,-0.06,0.35,-0.48
B,A,B,B,B,A,-1.38,0.03,0.76,,-0.25,0.53,0.18,-0.15
C,A,D,B,A,A,-0.18,-1.0,-1.17,1.12,0.03,-0.61,0.95,6.79
C,A,B,A,B,B,3.26,-0.0,-1.54,0.22,0.58,-1.7,1.2,2.7
,C,A,B,A,A,-1.07,-0.28,-0.65,,1.44,1.26,0.27,-0.35
A,A,B,A,A,B,2.0,0.0,,0.15,-0.07,2.07,0.63,-1.56
A,A,C,B,B,B,-0.88,-0.08,2.33,0.77,-0.22,1.5,2.45,-1.63
C,C,A,B,B,A,-1.89,-0.0,1.47,,-0.24,0.32,2.47,0.65
A,A,C,B,B,A,1.43,0.94,0.18,0.08,0.09,-0.1,0.92,0.17
B,B,C,B,A,B,0.67,0.86,3.1,3.02,0.22,-0.65,2.02,-0.22
B,A,C,B,B,A,0.89,0.45,,0.21,-0.24,2.11,1.31,0.62
B,A,C,B,B,A,0.16,0.07,0.57,0.13,0.13,1.95,1.11,-0.46
A,C,C,B,A,B,0.02,-0.41,0.63,4.96,1.93,0.54,1.36,1.73
C,A,D,B,B,B,1.37,0.02,,0.01,0.67,-1.5,0.23,2.57
A,C,D,A,A,B,0.91,-0.4,-2.23,1.16,0.81,-0.29,0.33,-0.16
B,A,B,B,B,A,-0.82,1.54,0.31,0.0,0.96,2.5,2.41,-1.73
A,C,B,B,A,B,2.01,0.07,,,0.59,-0.09,0.22,0.26
C,A,A,B,B,B,0.57,0.08,0.63,,1.14,1.38,2.01,0.8
C,B,B,A,B,A,2.08,0.47,0.96,,0.98,0.34,1.07,-0.44
A,B,B,B,A,A,-0.19,-0.01,5.17,0.67,8.64,1.31,1.72,-0.1
B,C,C,B,B,A,-0.71,-0.0,0.87,,1.0,1.87,1.5,-0.2
A,B,B,B,B,A,2.67,0.73,-0.18,0.62,1.32,0.87,0.26,-0.69
A,A,C,B,B,A,1.74,-0.36,1.29,,0.95,0.27,0.05,-3.17
B,C,B,,A,B,2.52,0.08,,0.5,-0.04,1.16,1.09,0.13
C,C,B,A,B,A,1.31,0.59,-3.52,0.03,-0.17,0.36,2.61,0.83
,B,C,B,B,A,-0.17,0.0,0.93,,-0.07,0.84,3.64,0.0
,C,D,B,B,A,-3.11,-0.0,1.3,0.31,0.05,0.42,3.42,-1.28
A,C,B,A,A,B,-0.56,-0.56,-2.88,3.31,0.15,0.59,1.99,2.28
C,C,C,B,A,B,2.02,0.68,,0.75,2.25,-0.58,1.74,-1.21
C,C,B,A,B,A,4.71,0.09,,0.18,0.96,1.67,1.47,0.66
B,C,B,A,A,A,0.68,0.48,4.97,1.86,3.95,0.72,0.61,0.85
A,A,C,B,B,B,0.65,0.14,-0.75,,9.47,-2.41,0.36,-0.42
C,C,B,A,A,B,0.77,0.0,,,3.27,0.55,1.25,-0.71
A,A,B,B,A,A,-2.92,-0.49,,1.41,1.59,-2.41,2.52,0.29
B,B,B,A,A,A,1.93,0.87,,0.02,-0.04,-0.2,0.02,-1.82
A,C,B,B,B,A,5.83,0.02,0.03,0.5,-0.03,-2.49,2.8,-0.02
C,B,C,B,A,A,-2.01,-0.68,1.55,,0.13,-0.75,1.67,2.91
,C,A,A,A,B,2.15,0.74,,0.22,0.88,0.78,0.59,0.01
A,C,B,B,A,B,2.13,0.0,0.86,0.84,0.28,-1.33,0.47,-2.29
A,B,B,B,A,B,-0.15,1.4,1.21,0.4,1.26,-1.19,1.64,0.02
A,C,C,B,A,B,0.46,0.24,0.12,0.03,0.94,-2.02,0.68,0.07
B,C,C,A,A,A,0.79,-0.02,1.1,0.05,-0.25,1.26,1.13,0.77
C,C,A,B,A,B,2.2,0.32,0.86,0.31,3.28,-0.81,1.93,-1.15
B,C,A,A,A,A,0.61,0.17,0.3,0.24,4.85,-1.27,2.02,-0.28
B,C,C,A,B,B,3.11,1.06,-1.12,0.03,0.23,0.55,0.32,-2.28
A,A,C,A,A,A,0.51,-0.0,,,-0.22,-0.02,0.69,-1.52
C,B,C,B,A,A,0.06,-0.02,2.64,0.62,2.61,1.42,0.61,-2.27
C,C,C,B,B,B,1.37,0.47,1.41,,-0.23,-0.17,1.31,-0.8
C,B,C,B,A,B,-0.74,0.0,3.07,0.21,-0.24,-0.53,0.81,0.17
B,C,B,B,A,A,1.22,3.92,-1.44,1.52,6.19,1.01,1.43,-5.18
B,A,C,B,B,B,-0.16,-0.17,,0.94,-0.07,-0.06,1.67,1.96
A,B,B,B,A,B,0.29,1.96,5.51,19.2,7.3,3.74,0.34,0.4
B,A,C,B,A,A,-0.71,0.17,3.2,0.37,-0.25,1.5,1.14,0.9
C,B,A,B,A,A,2.0,0.41,1.8,,9.56,0.09,0.07,1.02
B,A,A,A,A,A,0.98,0.33,-0.3,,-0.18,2.64,0.87,-0.25
A,C,D,,A,B,-0.06,1.19,,0.07,-0.01,-1.54,0.48,-0.51
B,B,B,B,A,A,0.82,-0.41,1.97,0.32,2.83,2.59,1.29,1.69
